Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,LABEL-I,LABEL-II,LABEL-III
172.16.16.96-172.16.16.1-53890-53-17,172.16.16.96,53890,172.16.16.1,53,17,2022-09-08 18:28:45.472679,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
172.16.16.96-172.16.16.163-40102-30007-6,172.16.16.96,40102,172.16.16.163,30007,6,2022-09-08 18:19:17.306892,38988,6,0,1215,0,1215,0,202.5,496.021672913594,0,0,0,0,31163.4349030471,153.89350569406,7797.6,16687.5733646327,37647,113,38988,7797.6,16687.5733646327,37647,113,0,0,0,0,0,1,0,0,0,0,0,200,0,153.89350569406,0,0,1215,202.5,496.021672913594,246037.5,1,1,0,1,5,0,0,0,0,202.5,202.5,0,0,0,0,0,0,0,1,202,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,38988,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
172.16.16.96-172.16.16.1-53284-53-17,172.16.16.96,53284,172.16.16.1,53,17,2022-09-08 18:15:40.199629,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
172.16.16.96-172.16.16.1-57233-53-17,172.16.16.96,57233,172.16.16.1,53,17,2022-09-08 18:16:39.109855,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
172.16.16.96-172.16.16.1-48138-53-17,172.16.16.96,48138,172.16.16.1,53,17,2022-09-08 18:15:50.088072,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
172.16.16.96-172.16.16.163-32768-30007-6,172.16.16.96,32768,172.16.16.163,30007,6,2022-09-08 18:09:02.156562,37590,5,0,1895,0,1895,0,379,847.46976347242,0,0,0,0,50412.3437084331,133.014099494546,9397.5,17379.3006667894,35462,378,37590,9397.5,17379.3006667894,35462,378,0,0,0,0,0,1,0,0,0,0,0,168,0,133.014099494546,0,0,1895,379,847.46976347242,718205,1,1,0,1,4,0,0,0,0,379,379,0,0,0,0,0,0,0,1,379,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,37590,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
172.16.16.96-172.16.16.163-43716-30007-6,172.16.16.96,43716,172.16.16.163,30007,6,2022-09-08 18:15:38.644129,45730,5,0,2219,0,2219,0,443.8,992.366968414407,0,0,0,0,48523.9448939427,109.337415263503,11432.5,21390.4878625991,43516,503,45730,11432.5,21390.4878625991,43516,503,0,0,0,0,0,1,0,0,0,0,0,168,0,109.337415263503,0,0,2219,443.8,992.366968414407,984792.2,1,1,0,1,4,0,0,0,0,443.8,443.8,0,0,0,0,0,0,0,1,443,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,619973572,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
172.16.16.96-172.16.16.1-54073-53-17,172.16.16.96,54073,172.16.16.1,53,17,2022-09-08 18:18:08.639295,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
172.16.16.96-172.16.16.163-34996-30007-6,172.16.16.96,34996,172.16.16.163,30007,6,2022-09-08 18:18:15.705505,34337,5,0,1382,0,1382,0,276.4,618.049188980942,0,0,0,0,40248.1288406093,145.615516789469,8584.25,16456.7533123436,33267,154,34337,8584.25,16456.7533123436,33267,154,0,0,0,0,0,1,0,0,0,0,0,168,0,145.615516789469,0,0,1382,276.4,618.049188980942,381984.8,1,1,0,1,4,0,0,0,0,276.4,276.4,0,0,0,0,0,0,0,1,276,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,34337,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
172.16.16.96-172.16.16.163-53984-30007-6,172.16.16.96,53984,172.16.16.163,30007,6,2022-09-08 18:26:56.537374,47532,5,0,1387,0,1387,0,277.4,620.285256958442,0,0,0,0,29180.3416645628,105.192291508878,11883,22938.724579482,46291,365,47532,11883,22938.724579482,46291,365,0,0,0,0,0,1,0,0,0,0,0,168,0,105.192291508878,0,0,1387,277.4,620.285256958442,384753.8,1,1,0,1,4,0,0,0,0,277.4,277.4,0,0,0,0,0,0,0,1,277,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,47532,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
172.16.16.96-172.16.16.163-56346-30007-6,172.16.16.96,56346,172.16.16.163,30007,6,2022-09-08 18:06:17.770298,48547,5,0,1007,0,1007,0,201.4,450.344090668458,0,0,0,0,20742.7853420397,102.992975879045,12136.75,23537.6388418635,47443,286,48547,12136.75,23537.6388418635,47443,286,0,0,0,0,0,1,0,0,0,0,0,168,0,102.992975879045,0,0,1007,201.4,450.344090668458,202809.8,1,1,0,1,4,0,0,0,0,201.4,201.4,0,0,0,0,0,0,0,1,201,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,-1,-1,48547,CVE-2020-25213,CWE-434,Unrestricted Upload of File with Dangerous Type
172.16.16.96-172.16.16.1-47427-53-17,172.16.16.96,47427,172.16.16.1,53,17,2022-09-08 18:21:22.353633,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NORMAL,NORMAL,Normal Traffic
